id,name,host_name,host_location,host_response_time,host_is_superhost,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,number_of_reviews,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_cleaned
1169744339547805268,Avondale Oasis II,Lourdes,"Chicago, IL",within an hour,True,,Logan Square,41.93109,-87.68631,Entire rental unit,Todo o espaço,4,1.0,2.0,0.0,$115.00,32,1,0,5.0,True,115.0
1170212450535569268,Beautiful Condo in Lincoln Park w/ Rooftop,Amit,"Chicago, IL",within a few hours,True,,Lincoln Park,41.912854436504325,-87.65140803791695,Entire rental unit,Todo o espaço,4,2.5,2.0,2.0,$405.00,2,9,0,4.89,False,405.0
1170373207425024883,Charming 2-bdrm near  University of CHI Campus,Najja,"Calumet Park, IL",within an hour,True,,Woodlawn,41.77503046553322,-87.59369501166117,Entire rental unit,Todo o espaço,3,1.0,2.0,2.0,$128.00,2,12,1,5.0,False,128.0
1171116617825180896,The Keystone - Walk to West Loop Nightlife/Dining,David,,within an hour,True,,West Town,41.89081,-87.66279,Entire condo,Todo o espaço,4,1.0,2.0,2.0,$135.00,2,50,2,4.84,False,135.0
1171129399780848890,The Greenhouse - Chic 2BR Flat Near Fulton Market,David,,within an hour,True,,West Town,41.89081,-87.66279,Entire condo,Todo o espaço,4,1.0,2.0,2.0,$117.00,2,56,4,4.95,False,117.0
1171135921176467851,Art Deco Inspired Designer 2 Bed Loft In West Town,David,,within an hour,True,,West Town,41.89053,-87.67997,Entire condo,Todo o espaço,4,2.0,2.0,2.0,$124.00,2,67,4,4.85,False,124.0
1171212012131193677,Bronzeville Condo,Monica,"Chicago, IL",,False,,Grand Boulevard,41.81319,-87.62038,Entire condo,Todo o espaço,6,2.0,3.0,4.0,$300.00,32,0,0,,False,300.0
1171293397969931382,~Exquisite 2-BR Residence| Top Notch Amenities ~,Alex,,within an hour,True,,West Town,41.89336,-87.69281,Entire rental unit,Todo o espaço,4,1.0,2.0,2.0,$183.00,3,13,0,4.85,True,183.0
1171783803149539215,Rustic Cozy Haven in West Town,Yara,"Chicago, IL",within an hour,True,,West Town,41.895424,-87.666423,Entire condo,Todo o espaço,5,2.0,2.0,2.0,$170.00,1,53,6,4.83,False,170.0
1171820061975553445,A Home away from Home,Alexis,"Chicago, IL",within an hour,False,,Dunning,41.94400820856835,-87.81373114912853,Entire home,Todo o espaço,6,2.0,4.0,3.0,$224.00,1,9,0,4.78,False,224.0
1171860161456702821,Bright 1BR ~ On the River!,Matt,"Chicago, IL",within an hour,True,,Loop,41.8865939,-87.63140659999999,Entire serviced apartment,Todo o espaço,3,1.0,1.0,1.0,$150.00,32,0,0,,False,150.0
1171864318472303697,South Loop Studio Hotel (304),Guili,,,True,,Loop,41.8729842,-87.62717959999999,Private room in rental unit,Quarto privativo,2,1.0,0.0,1.0,$124.00,1,37,1,4.86,True,124.0
1171990850749357574,"CTA, Stores, Restaurants, Free Street Parking",Fern,"Chicago, IL",within an hour,False,,Mckinley Park,41.83128828835136,-87.6729442443786,Private room in home,Quarto privativo,1,,,,,1,7,1,3.71,True,
